기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2021.2/4	합계	계	9,795,426	261,426	352,673	374,251	400,977	650,630	855,400	753,246	745,584	745,617	788,418	813,512	739,500	737,221	549,419	403,182	295,381	192,873	92,688	33,016	7,921	2,491
2021.2/4	합계	한국인	9,565,990	256,117	346,409	370,085	396,487	617,638	825,570	728,466	723,862	728,861	772,210	792,713	713,519	725,284	544,520	401,362	294,687	192,468	92,455	32,924	7,884	2,469
2021.2/4	합계	등록외국인	229,436	5,309	6,264	4,166	4,490	32,992	29,830	24,780	21,722	16,756	16,208	20,799	25,981	11,937	4,899	1,820	694	405	233	92	37	22
2021.2/4	종로구	계	155,106	3,032	4,482	5,124	5,905	13,211	14,487	10,937	10,068	10,497	11,963	13,434	12,509	11,852	8,743	6,416	5,450	4,010	1,994	734	206	52
2021.2/4	종로구	한국인	146,029	2,937	4,338	4,996	5,688	10,179	12,968	10,171	9,424	9,930	11,503	12,961	11,978	11,570	8,622	6,356	5,435	3,998	1,987	730	206	52
2021.2/4	종로구	등록외국인	9,077	95	144	128	217	3,032	1,519	766	644	567	460	473	531	282	121	60	15	12	7	4	-	-
2021.2/4	중구	계	132,259	3,286	3,708	3,342	3,756	9,061	12,333	11,130	10,628	9,522	9,493	10,882	10,677	10,461	7,866	5,772	4,675	3,158	1,646	653	151	59
2021.2/4	중구	한국인	123,016	3,091	3,414	3,119	3,544	7,412	10,911	10,154	9,727	8,845	8,893	10,258	9,945	10,082	7,674	5,690	4,630	3,134	1,635	650	149	59
2021.2/4	중구	등록외국인	9,243	195	294	223	212	1,649	1,422	976	901	677	600	624	732	379	192	82	45	24	11	3	2	-
2021.2/4	용산구	계	240,665	6,578	7,860	7,699	8,500	14,483	21,347	21,374	20,511	18,636	19,085	20,304	18,158	17,246	12,376	9,151	7,388	5,528	2,966	1,076	306	93
2021.2/4	용산구	한국인	226,378	6,081	7,076	7,091	8,053	13,646	19,959	19,596	18,565	16,991	17,781	19,141	17,291	16,732	12,123	9,011	7,319	5,499	2,958	1,072	302	91
2021.2/4	용산구	등록외국인	14,287	497	784	608	447	837	1,388	1,778	1,946	1,645	1,304	1,163	867	514	253	140	69	29	8	4	4	2
2021.2/4	성동구	계	295,767	9,797	10,275	9,130	10,467	20,758	26,416	24,113	24,814	22,362	22,407	24,489	22,986	22,162	15,325	11,450	8,836	5,971	2,799	929	197	84
2021.2/4	성동구	한국인	289,162	9,683	10,159	9,064	10,349	19,169	25,205	23,425	24,281	21,965	22,023	24,038	22,476	21,915	15,217	11,412	8,818	5,966	2,794	927	195	81
2021.2/4	성동구	등록외국인	6,605	114	116	66	118	1,589	1,211	688	533	397	384	451	510	247	108	38	18	5	5	2	2	3
2021.2/4	광진구	계	355,306	8,104	11,111	12,265	13,519	28,553	38,835	30,396	26,915	25,493	27,104	29,183	26,948	26,065	18,245	12,770	9,364	6,284	2,882	955	243	72
2021.2/4	광진구	한국인	342,481	7,788	10,788	12,061	13,259	25,671	36,681	29,172	25,956	24,825	26,451	28,218	25,612	25,466	18,065	12,710	9,347	6,272	2,872	954	242	71
2021.2/4	광진구	등록외국인	12,825	316	323	204	260	2,882	2,154	1,224	959	668	653	965	1,336	599	180	60	17	12	10	1	1	1
